order_id,customer_id,item_name,category,quantity,amount,payment_method,order_date
1,1,Kids Story Set,Books,1,1056.43,Credit Card,2026-05-01
2,1,Sports Sneakers,Footwear,1,3648.92,UPI,2026-04-03
3,1,Hair Care Combo,Beauty,3,1179.52,Credit Card,2026-03-07
4,1,Formal Shirt,Fashion,2,1132.14,Credit Card,2026-08-04
5,1,Scented Candle Set,Home Decor,2,982.84,Net Banking,2026-01-12
6,1,Skincare Set,Beauty,3,1454.83,UPI,2026-05-18
7,1,Laptop Sleeve,Electronics,3,936.06,Debit Card,2025-11-21
8,1,Cookbook,Books,3,555.98,Net Banking,2026-03-07
9,1,Fiction Novel,Books,2,573.89,UPI,2025-12-07
10,2,Scented Candle Set,Home Decor,2,721.92,Debit Card,2025-11-13
11,2,Sports Sneakers,Footwear,2,4827.25,Debit Card,2025-09-11
12,2,Puzzle Set,Toys,1,628.76,UPI,2026-03-21
13,2,Sports Sneakers,Footwear,3,5250.16,UPI,2025-09-22
14,2,Pizza Slice Combo,Food Court,1,476.86,Cash,2025-12-05
15,2,Grocery Basket - Weekly,Grocery,3,1282.44,Net Banking,2025-10-03
16,2,Fiction Novel,Books,1,618.29,UPI,2025-09-13
17,2,Casual Sandals,Footwear,1,776.82,Cash,2026-04-20
18,2,Sneakers,Fashion,3,3657.76,Debit Card,2025-11-02
19,2,Cushion Cover Set,Home Decor,1,899.65,Credit Card,2025-09-22
20,2,Scarf,Fashion,1,555.09,Net Banking,2025-09-01
21,2,Combo Meal,Food Court,1,445.09,Debit Card,2026-01-02
22,3,Coffee & Snack,Food Court,2,387.51,Net Banking,2025-10-14
23,3,Cushion Cover Set,Home Decor,3,1397.21,Cash,2025-12-23
24,3,Remote Control Car,Toys,2,3131.68,Cash,2025-11-30
25,3,Formal Shoes,Footwear,3,2987.66,Debit Card,2026-03-30
26,3,Board Game,Toys,3,819.71,Debit Card,2026-07-13
27,3,Organic Snack Pack,Grocery,1,529.82,Debit Card,2025-08-27
28,3,Sneakers,Fashion,3,3630.4,Cash,2025-12-28
29,3,Bluetooth Speaker,Electronics,2,3115.65,Credit Card,2025-10-28
30,3,Cushion Cover Set,Home Decor,2,505.9,Cash,2026-03-24
31,3,Wall Art Frame,Home Decor,2,1283.52,Cash,2026-01-12
32,3,Power Bank,Electronics,3,1336.97,Debit Card,2026-01-28
33,3,Ice Cream Tub,Food Court,3,494.22,Cash,2026-08-10
34,3,Wireless Earbuds,Electronics,1,3428.25,Debit Card,2025-12-30
35,3,Smartwatch,Electronics,1,4585.07,UPI,2026-01-03
36,4,Scented Candle Set,Home Decor,2,1001.61,Credit Card,2026-04-16
37,4,Combo Meal,Food Court,1,512.16,Debit Card,2026-02-25
38,4,Scarf,Fashion,1,874.37,Debit Card,2026-08-08
39,4,Running Shoes,Footwear,1,4250.41,Cash,2026-06-20
40,4,Handbag,Fashion,2,4817.15,UPI,2025-08-30
41,4,Self-Help Book,Books,3,602.95,Debit Card,2026-06-26
42,4,Building Blocks Set,Toys,2,1452.29,Cash,2025-11-02
43,5,Running Shoes,Footwear,3,4153.92,Credit Card,2026-04-21
44,5,Building Blocks Set,Toys,3,1735.1,UPI,2026-08-02
45,5,Hair Care Combo,Beauty,1,1161.52,UPI,2025-12-07
46,5,USB-C Hub,Electronics,2,1304.07,Cash,2026-06-30
47,5,Cookbook,Books,2,1065.85,Net Banking,2026-05-25
48,5,Puzzle Set,Toys,3,578.92,UPI,2025-10-24
49,5,Self-Help Book,Books,1,715.37,Cash,2026-04-03
50,5,Sports Sneakers,Footwear,3,4494.47,UPI,2026-02-10
51,6,Coffee & Snack,Food Court,1,195.46,UPI,2026-02-23
52,6,Kids Story Set,Books,3,1104.26,Net Banking,2026-04-04
53,7,Perfume,Beauty,3,1439.72,Cash,2026-01-27
54,7,Perfume,Beauty,3,3133.71,Cash,2025-08-24
55,8,Wireless Earbuds,Electronics,2,2382.71,Debit Card,2025-09-03
56,8,Board Game,Toys,3,973.26,Cash,2026-02-28
57,8,Makeup Kit,Beauty,2,1638.8,UPI,2026-04-07
58,8,Remote Control Car,Toys,1,1477.51,Credit Card,2026-03-15
59,8,Perfume,Beauty,3,1736.31,UPI,2025-12-19
60,8,Makeup Kit,Beauty,1,2959.07,Debit Card,2026-03-25
61,8,Self-Help Book,Books,3,451.13,Debit Card,2025-11-23
62,8,Building Blocks Set,Toys,3,1966.58,Debit Card,2026-03-27
63,8,Combo Meal,Food Court,3,555.45,Cash,2026-03-31
64,9,Coffee & Snack,Food Court,1,196.09,Cash,2026-04-16
65,9,Scarf,Fashion,2,339.21,Net Banking,2026-07-17
66,9,Bluetooth Speaker,Electronics,3,1543.15,Credit Card,2026-03-21
67,9,Running Shoes,Footwear,2,4041.64,Net Banking,2025-10-17
68,9,Sports Sneakers,Footwear,2,4076.8,Net Banking,2026-03-24
69,9,Scented Candle Set,Home Decor,1,854.9,Credit Card,2025-10-15
70,9,Casual Sandals,Footwear,1,917.58,Debit Card,2026-06-04
71,9,Grocery Basket - Weekly,Grocery,2,1066.11,Net Banking,2026-01-05
72,9,Coffee & Snack,Food Court,2,158.16,UPI,2025-08-27
73,10,Combo Meal,Food Court,2,490.58,Net Banking,2025-10-07
74,10,Sports Sneakers,Footwear,1,2901.72,Debit Card,2025-09-26
75,10,Remote Control Car,Toys,1,1364.24,Net Banking,2026-03-19
76,10,Puzzle Set,Toys,3,374.61,Cash,2026-03-21
77,10,Puzzle Set,Toys,3,562.66,Cash,2026-08-03
78,10,Kids Story Set,Books,1,420.69,Net Banking,2025-09-12
79,10,USB-C Hub,Electronics,2,1606.74,Credit Card,2025-11-01
80,10,Dry Fruits Pack,Grocery,2,1018.96,Debit Card,2026-04-03
81,10,Cushion Cover Set,Home Decor,2,1469.06,Cash,2026-02-26
82,10,Kids Story Set,Books,1,936.11,Cash,2026-03-08
83,10,Coffee & Snack,Food Court,2,315.65,Credit Card,2025-11-15
84,10,Combo Meal,Food Court,2,360.08,Cash,2026-06-25
85,10,Skincare Set,Beauty,3,1918.02,Cash,2025-12-30
86,11,Formal Shoes,Footwear,2,3481.11,Cash,2025-10-07
87,11,Bluetooth Speaker,Electronics,1,1814.23,Cash,2026-03-29
88,12,Combo Meal,Food Court,3,260.1,Debit Card,2025-10-16
89,12,Beverages Combo,Grocery,3,785.59,Credit Card,2026-01-27
90,12,Running Shoes,Footwear,1,3722.78,Debit Card,2025-09-26
91,12,Coffee & Snack,Food Court,2,277.22,Cash,2026-01-23
92,12,Ice Cream Tub,Food Court,1,337.04,Debit Card,2026-02-08
93,12,Perfume,Beauty,2,3619.28,UPI,2026-01-23
94,12,Makeup Kit,Beauty,2,2623.15,Net Banking,2026-03-24
95,12,Ice Cream Tub,Food Court,2,333.96,UPI,2026-02-28
96,12,Hair Care Combo,Beauty,2,955.34,Debit Card,2026-05-19
97,12,Wall Art Frame,Home Decor,2,1798.42,UPI,2026-08-01
98,12,Pizza Slice Combo,Food Court,3,454.43,Debit Card,2025-09-24
99,12,Combo Meal,Food Court,3,294.19,Credit Card,2026-03-07
100,12,Combo Meal,Food Court,2,434.08,Debit Card,2026-08-16
101,13,Grocery Basket - Weekly,Grocery,2,1598.13,Net Banking,2026-03-03
102,13,Table Lamp,Home Decor,3,2518.35,Cash,2025-11-23
103,13,Cookbook,Books,1,1197.91,Credit Card,2025-10-11
104,13,Formal Shoes,Footwear,3,4493.05,Cash,2026-07-08
105,13,Scarf,Fashion,1,680.25,Debit Card,2026-01-08
106,13,Building Blocks Set,Toys,1,759.79,UPI,2026-03-26
107,13,Cookbook,Books,3,616.46,Net Banking,2026-01-25
108,13,Organic Snack Pack,Grocery,3,405.04,Net Banking,2026-02-09
109,14,Sports Sneakers,Footwear,1,5694.9,Cash,2026-04-27
110,14,Puzzle Set,Toys,1,453.2,UPI,2025-12-28
111,14,Perfume,Beauty,2,1406.81,UPI,2025-10-27
112,14,Scented Candle Set,Home Decor,2,765.47,Cash,2026-05-14
113,14,Combo Meal,Food Court,3,333.02,Net Banking,2026-02-21
114,14,Board Game,Toys,3,521.94,UPI,2026-02-02
115,14,Phone Case,Electronics,3,819.04,Net Banking,2026-07-29
116,14,Coffee & Snack,Food Court,1,343.94,UPI,2025-10-17
117,14,Casual Sandals,Footwear,3,1345.07,Debit Card,2025-09-20
118,14,Winter Coat,Fashion,2,5408.53,Credit Card,2026-01-10
119,14,Self-Help Book,Books,2,345.07,Cash,2026-03-09
120,14,Organic Snack Pack,Grocery,3,379.3,Net Banking,2026-02-17
121,15,Remote Control Car,Toys,2,1791.03,UPI,2026-03-25
122,15,Sneakers,Fashion,1,5851.57,Cash,2026-04-30
123,15,Makeup Kit,Beauty,2,1089.64,UPI,2026-08-16
